Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,2472,small,1,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']",2595
obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8457,large,1,3,5,6,Yes,['Paper'],['Oven'],4743
underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,5363,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,2893,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,6,37,9,Sometimes,[],['Stove'],5272
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,17,24,20,Yes,"['Paper', 'Glass']",['Microwave'],2582
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,Yes,['Glass'],[],3141
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060
